noun_class,noun
3,tap
4,plate
8,cupboard
1,pan
7,spoon
5,knife
9,drawer
10,fridge
6,bowl
12,hand
11,lid
13,onion
16,glass
23,cup
17,water
19,board:chopping
21,sponge
18,fork
32,cloth
20,bag
28,bottle
15,pot
22,spatula
39,box
26,meat
24,oil
30,tomato
31,salt
29,container
27,potato
77,package
37,food
47,hob
35,pasta
78,top
40,carrot
45,garlic
68,skin
44,rice
25,bin
38,kettle
46,pepper
33,sink
51,cheese
56,oven
70,liquid:washing
58,coffee
52,bread
108,rubbish
67,peach
42,colander
41,sauce
54,salad
126,maker:coffee
60,jar
84,sausage
75,cutlery
43,milk
62,chicken
50,egg
59,filter
55,microwave
49,dishwasher
87,can
48,dough
63,tray
72,leaf
105,jug
106,heat
79,spice
111,stock
